id,name,ingredients,steps
84,Lamb on marjoram with potato gnocchi,"Potato starch, Boiling potatoes type C, Fresh marjoram, Freshly crushed pepper, Garlic, Onion, Coarse flour, Leg of lamb, Chicken stock, Butter, Lard, Whipping cream (min. 31%), Salt, Eggs, Suitable beer","Finely chop the onion. Peel and crush the garlic. Blanch the meat, discard most of the fat and cut into 1,5 cm cubes. To the grated potatoes add the starch, flour, egg, 10 g salt and mix as quickly as possible with a rolling pin to make a soft but compact dough. On a floured board, roll out the dough into a roll 2-2.5 cm in diameter, which you cut into gnocchi 2-3 cm long. It will smell better.

Once the chilled butter has been added, the sauce must no longer boil. This technique will make the sauce softer and thicker.

The final quantity of 1 kg is the amount of potatoes cooked in the skin, peeled and cooled. You should therefore cook 100 g more potatoes.

The potatoes must be completely cooled before you start preparing the dough.

Do not boil the potatoes until they are completely tender - the batter will then be runny.

The batter should not"
85,Potato gnocchi,"Potato starch, Potato type C, Coarse flour, Lard, Salt, Eggs","In a large pot boil well-salted water for gnocchi., On a floured table or a rolling pin roll out a roll of dough with a diameter of 2-2.5 cm, which we cut into gnocchi 2-3 cm long. Cook for 6-7 minutes. Take the finished gnocchi out of the water with a perforated ladle and put them on a baking tray with hot lard, in which they are covered so that they do not turn brown. Therefore, add the flour gradually to obtain the ideal consistency. Potato dough tends to thin out, so you have to work quickly.

The potatoes must be completely cooled before you start working the potato dough.

Don't cook the potatoes until they are completely tender - the batter will then be runny.

Remember that boiling water must be waiting for the potato dough. If you were to prepare the dough first and then boil the water, the dough would thin out. That's why"
86,Judas,"Fresh yeast, granulated sugar, Flour, Coffee suitable for this dish, Butter, Honey, Milk, Baking paper, Semi-coarse flour, Salt, Eggs","After baking, brush with liquid honey generously while still hot.Do not pull the spirals, otherwise they will rise too high in the oven.Divide the dough into 80 g pieces and roll them into 20 cm long rolls. Twist them into a spiral and hide the end under the dough to prevent them from unravelling. Place them on a baking sheet lined with baking paper, cover with a clean tea towel and leave in a warm place to rise for 45 minutes. Then brush the yiddish with beaten egg, place in the preheated oven and bake for 15-20 minutes. Stir in the flour, a little at a time, until it forms a batter about as thick as pancakes. Dust the surface with plain flour and leave in a warm place for 30 minutes to rise., Heat the oven to 160 °C., Melt the butter in a saucepan over a low heat. Add the butter to the bowl with the omelette."
87,Mazanec,"Fresh yeast, Lemon, Semolina sugar, Smooth flour, Coffee suitable for this dish, Almonds, Almond slices, Butter, Milk, Baking paper, Semi-coarse flour, Raisins, Salt, Vanilla sugar, Eggs","Roll the rested dough into a loaf (i.e. tighten it properly so that it holds its shape during rising and baking), place it on a baking sheet lined with baking paper and leave it in a warm place for at least 1 hour to rise.

Do not underestimate the maturing of the dough, at this point the flavours are coming together, the dough is beginning to proof and
is gaining energy. If you give it a rest, it will process well later.

If you let the dough rise thoroughly, it will hold its shape in the oven and not tear.

Grate only the yellow part of the lemon peel, the white is bitter.

You can tell when the dough is baked by sticking a skewer in the centre and pulling it out, it will stay dry. If there is dough on the skewer when you pull it out, bake for a while."
88,Stuffed eggs,"Anchovies, White pepper, Lemon juice, Luchina, Mayonnaise, Chives, Full fat mustard, Tomatoes, Anchovy paste, Salt, Eggs, Lettuce","Place the stuffed eggs on a bowl lined with lettuce leaves. Decorate with anchovies and a piece of tomato.If you want to lighten the filling, add one finely chopped egg white.

You can put the egg yolk filling in a pastry bag, it will be easier to work with., Fill the egg whites into the yolk wells with the mixture., Peel the eggs, cut them lengthwise and remove the yolks., Beat the yolks in a bowl with the luchina, mayonnaise, mustard and anchovy paste. Add the finely chopped chives. Season with salt, white pepper and lemon juice and stir."
89,Egg spread,"White yoghurt, Freshly cracked pepper, Whole milk mustard, Salt, Eggs, Jelly","You can replace part of the full-fat mustard with Dijon mustard, the spread will have a sharper taste.

You don't have to cut all the egg whites into the spread, you can fill some of them with the spread.

You can add finely chopped flat-leaf parsley or chives to the spread., Add the chopped egg whites, mix and chill in the fridge., Boil the eggs, peel and cut lengthwise. Scrape the yolks into a bowl, finely chop the whites, mash the yolks with a fork, add the cress, yoghurt, mustard, salt and pepper and mix."
90,Egg salad with potatoes,"Potatoes, cooking type A, Freshly cracked pepper, Spring onion, Mayonnaise, Full fat mustard, Salt, Eggs","Boil the potatoes in their skins until tender and let them cool. You can add chopped chives or flat-leaved parsley to the salad., Peel the eggs and cooled potatoes and cut them into 1 cm cubes. Mix the eggs, potatoes and onions with the mayonnaise and mustard. Season with salt and pepper to taste. Chill in the fridge."
91,Easter Lamb,"Caster sugar, Coarse flour, Coffee suitable for this dish, Butter, Milk, Semi-coarse flour, Baking powder, Eggs","Let the finished lamb cool in the mould before turning it out, the amount of dough is for a smaller mould.

All ingredients must be at the same temperature so that the dough does not separate the fat (it should have fine crumbs in it). The dough may then shrink in the mould during baking and not rise.

If this does happen, don't despair. Place the bowl with the dough in a warm water bath and rub until the fat dissolves and combines with the other ingredients to form a smooth dough again, Mix the flour with the baking powder. Beat the butter with the sugar until foamy, stir in the eggs and milk and finally the flour and baking powder., Pour the batter into the prepared tin, place in the preheated oven and bake for 60 minutes., Preheat the oven to 160 °C. Butter the tin and dust it thoroughly with coarse flour."
92,"Asparagus, tomato and walnut salad","Fresh basil, Fresh thyme, Red and yellow cherry tomatoes, Green asparagus, Lemon, Lemon juice, Semolina sugar, Extra virgin olive oil, Hazelnuts, Honey, Shelled almonds, Tomatoes, Raisins, Salt, Dried cranberries, Salad wine, Walnuts","Cut the cherry tomatoes in half. Cut out the hard centres from the large tomatoes, cut the tomatoes into quarters and halves.Arrange the hazelnuts, walnuts and almonds in a single layer on a baking tray and place in a preheated oven for 6 minutes. Then transfer them from the baking tray to a bowl and leave to cool. The salad will have a stronger nutty flavour. You can also use a combination of olive and hazelnut oil.

Instead of the classic red tomatoes, you can use the green or yellow variety. The different varieties can be combined in the salad.

The older the asparagus is, the longer the lower part of its stem becomes woody. This part must be cut off. However, it is usually enough to cut off about 1-1,5 cm., Before serving, add the torn basil leaves., Prepare a large bowl with 3 litres of ice water., Wash and dry the tomatoes and asparagus. Cut the bottom woody part of the asparagus"
93,Asparagus soup,"White asparagus, Green asparagus, Semolina sugar, Butter, Whipping cream (min. 31%), Salt","Place the asparagus in boiling water and cook for 5-10 minutes to bite. Note, green asparagus is done faster. Immediately after cooking, place the green asparagus in a bowl of water and ice to stop the boiling and prevent the asparagus from wilting. Then cut the asparagus into 4 cm long spears, in a pan over medium heat, let the remaining butter and the white asparagus heads foam and briefly heat the cut green asparagus in it. Return the warmed asparagus to the soup and drizzle the soup in the plate with the remaining butter from the pan, pour in the cream, stir and let it come to a boil. Remove from the heat and whisk in 60 g of butter. Season with salt., The cooked green asparagus must be immediately immersed in ice water so that it does not continue to cook - it will retain its colour and remain crisp.

You can also serve the soup with croutons made from white bread - just cut a day-old roll or bun into cubes and fry them in butter."
94,Asparagus with butter breadcrumbs,"White asparagus, Semolina sugar, Kitchen twine, Butter, Breadcrumbs, Salt","Peel the asparagus from the head down. This way you won't break off the head.

You can also break off the woody part - just bend the asparagus properly and the stem will break where the woody part starts. Don't throw away the woody ends, you can use them for soup or stock.

It is very important to peel white asparagus very carefully, as it has a very tough skin which is not edible and will only get in the way when eaten.

Fresh asparagus is full of water. You can tell when it is fresh by the way the stalks squeak when rubbed together.

When cooking asparagus, only the stems should be submerged in the water, the heads should be sticking out of the water. If they are submerged, pour off some of the water. At the last minute of boiling, dip the asparagus heads into the water.

The breadcrumbs will darken quickly, be careful not to burn them. It should be stirred constantly while roasting in the pan. Overcooked, dark breadcrumbs have a bitter taste., Peel the asparagus carefully and cut off the woody end. Tie the asparagus into kitchen portions"
95,Asparagus risotto,"Freshly cracked pepper, Green asparagus, Butter, Olive oil, Whole Parmesan cheese, Rice for risotto, Shallots, Dry white wine, Salt, Wine suitable for starters","Cut the asparagus heads in half lengthwise. Heat 2 tablespoons of olive oil in a frying pan over high heat, add the asparagus and sauté, stirring constantly, for 1,5 minutes. Remove from the heat and season with a pinch of salt and pepper. Once the water is almost boiled, add more water, again just enough to submerge the rice. Let it boil again and continue this way until the rice is cooked al dente (to the bite). This usually takes 16-20 minutes. Stir very often!!!When the last of the water is half cooked off and the rice is soft to the bite, remove from the heat, stir in the parmesan cheese and stir in the cubes of cooled butter and then 3 tablespoons of olive oil, cut the butter into small cubes and return to the fridge. BEFORE YOU START MAKING ITALIAN RISOTTO

Rice cooked ""al dente"" means ""to the bite"". Overcooked or overcooked rice makes the dish much t"
96,Beef steak with chimichurri sauce,"Freshly crushed pepper, Fresh oregano, Red chilli, Garlic, Olive oil, Black pepper , Flat leaf parsley, Salt, Wine vinegar, Tall spinach","Meanwhile, prepare the chimichurri sauce. Mix a handful of flat-leaf parsley, 2 tablespoons oregano, chilli pepper, 2 cloves garlic, salt, pepper, 1 teaspoon wine vinegar and olive oil. Mix everything together, salt, pepper and drizzle the steak with olive oil at room temperature. Grill for 3-5 minutes on each side. Transfer from the grill to a plate and let it rest for 7 more minutes, Serve the steak with the chimichurri sauce."
97,Beef cheeseburger,"Beef, Red Onion, Ketchup, Mayonnaise, Ground Beef, Sliced Cheddar, Tomatoes, Lettuce","The burgers should be a little bigger than the bun, flatten the meat a little in the middle, as it will bulge slightly when grilled, and this way it will stay nice and flat. Place the meat at room temperature on a well heated grill coated with a little oil. For medium-rare, you only need to grill the meat for 3 minutes on each side, but it depends on its thickness and your taste. After turning, put a slice of cheese on top of the meat to melt it. Don't forget to lightly toast the sliced bun on the grill.Good burgers just need good quality beef, salt and pepper, so we use already mixed meat directly from the butcher.Then spread the bun with mayonnaise, ketchup or a combination of both, add the browned burger meat and other ingredients to taste, such as sliced tomato, onion and lettuce. Cover with bun, slice if necessary and serve immediately, do not place lettuce under the meat or it will wilt quickly.

Slices of crispy bacon are also excellent in a burger. However, fry the bacon for a long time."
98,Alsatian pizza,"Freshly ground pepper, Fresh yeast, Red onion, Crème Fraîche, Flour, Butter, Nutmeg, Baking paper, Food foil, Bacon, Salt, Suitable beer","Heat the grill to high and cover it.Sprinkle each piece of dough with flour and roll out a 2 mm thick rectangle. Place on the baking paper, spread with a higher layer of crème fraîche, sprinkle with some of the onion and bacon and pepper., Transfer the prepared dough from the baking paper to the hot grill, cover and grill for 3 minutes. Mix the crème fraîche, salt and nutmeg. Cut the onion and bacon into 3 mm thick noodles., Mix the yeast and water (250 ml) in a bowl and pour it into the bowl of the food processor. Add the flour and softened butter and mix on medium speed for 8 minutes until smooth. Form into a ball, wrap in cling film and place in the fridge for 1 hour. Divide the rested dough into 4 equal parts."
99,Burger with pork,"Baguette, Freshly crushed pepper, Fresh coriander, Garlic, Chilli sauce, Sriracha, Chinese cabbage, Spring onion, Mayonnaise, Ground pork, Carrots, Vegetable oil, Rice vinegar, Sesame oil, Soy sauce, Salt, Ginger, Wine suitable for grilling","Cut the baguettes lengthwise and grill them cut side down. Place a portion of the salad on the bottom of the baguette, slice the meat, sprinkle with some chopped coriander and cover with the top
Mix the minced meat with the onion, garlic, ginger, sesame oil, pepper and salt. Form 4 patties 12-15 cm long, place them on a hot grill and grill 3- 4
The washed and dried cabbage and cleaned carrots are finely chopped and mixed with the other ingredients in a bowl. Set aside."
100,Garlic dip,"Garlic, Chives, Salt, Sour cream","You can cut the garlic lengthwise and remove the central sprout. Only then grate or crush the garlic, the dip will be finer., Mix all the ingredients together and put in the refrigerator to cool."
101,Grilled chicken breast,"Garlic, Lemon, Skinless chicken breast, Olive oil, Fresh rosemary, Skewers, Salt","Add the crushed garlic, a pinch of salt, rosemary and lemon juice to the olive oil, cut the meat lengthwise into 6 strips. Serve with dips, tzatziki, sauces to taste or green salad mixed with cherry tomatoes and drizzled with olive oil."
102,Grilled chicken hearts,"Garlic, Chilli powder, Chicken hearts, Lime, Olive oil, Black pepper , Vegetable oil, Skewers, Salt, Wine suitable for grilling","You can add a spoonful of chopped fresh coriander to the marinade for the hearts.

The hearts taste great with mixed green salads or rocket drizzled with olive oil and lemon juice and a few cherry tomatoes.Place the finished hearts on a plate, drizzle with olive oil and lime juice and serve immediately. Place the hearts on the skewers. Place them on a hot grill and grill for 2-2,5 minutes on each side. In a bowl, mix 60 ml of oil, garlic, chilli, salt and pepper. Add the hearts, mix and refrigerate for 30 minutes."
103,Beef burger with bacon and cheese,"Freshly cracked pepper, Red onion, Red wine vinegar, Onion, Tarragon, Kaiser, Ketchup, Iceberg lettuce, Mayonnaise, Butter, Ground beef, Sliced Cheddar, Flat leaf parsley, Tomatoes, Bacon, Salt, Worcestershire sauce","Cut the bagels lengthwise and grill them cut side down.Brush each half of the bagel with 1 tablespoon of seasoned mayonnaise. Place a portion of iceberg lettuce, 2 slices of tomato on the bottom half of the bun, top with grilled meat and cheese, 2 slices of tomato again, browned bacon and onion rings. Cover with the top of the bun, do not overcook the meat. It should stay red inside, pink at most, like a classic steak. Cut the tomatoes into 16 slices. Peel the onion and cut into thin slices. Fry the bacon on a medium grill until golden brown on both sides and set aside., Mix all the ingredients in a bowl and put in the fridge for 10 minutes. Place on a medium hot grill and grill for 3 minutes. Then turn the meat over, brush again with melted butter and grill for another"
104,Leg of lamb with mint sauce,"White wine vinegar, Freshly cracked pepper, Garlic, Caster sugar, Leg of lamb, Mint, Olive oil, Baking paper, Fresh rosemary, Salt, Suitable beer","Wash the mint leaves, dry them, chop them and put them in a larger bowl. Add the sugar and 200 ml of boiling water. Stir thoroughly and leave to cool at room temperature. Then brush with oil and season generously with salt and pepper. Place the meat in a baking dish lined with baking paper. Place the baking dish in a preheated oven and bake for 2 hours until tender. Let the finished meat rest for 10 minutes before serving. Dip individual bites of meat in mint sauce, add wine vinegar, stir and let rest for 1 hour. If the sauce is too hot, add water., Cut the rosemary into 2 cm long pieces. Cut the garlic lengthwise into 3 parts, Heat the oven to 160 ˚C."
105,Chicken alla diavola,"White wine vinegar, Bay leaf, Fresh thyme, Red chilli pepper, Chilli powder, Lemon juice, Mini chicken, Olive oil, Black pepper, Fresh rosemary, Salt","Finely chop the fresh chillies, coarsely crush the dried chillies. Mix all the ingredients thoroughly in a bowl., Cut the chickens along the spine and lay them out like a book. Toss them thoroughly with the marinade and leave them in the fridge for at least 3 hours, but preferably overnight., Remove the chickens from the marinade, place them skin side down on the hot grill, cover and grill for 3 minutes. Then turn them over, cover the grill again and grill for another 3 minutes. Continue like this until the chickens are tender."
106,Salmon in papillote,"Tin foil, Potatoes type A, B, C, Celery, Freshly cracked pepper, Fresh thyme, Red onion, Salmon fillet, Spring onion, Carrots, Olive oil, Baking paper, Dry white wine, Salt, Wine suitable for fish","Cut the celery and carrots into fine noodles. Cut the onion into thin crescents. Cut the spring onions into thin rounds. Cut the potatoes lengthwise. Mix all the vegetables in a bowl. Similarly, fold the sides over several times to create a closed pocket. Place it on the hot grill. Once puffed up, pull it down to the edge of the grill to a lower heat and grill for 1 minute. Remove from the grill and let rest for half a minute. Slice the papillote and serve immediately., Cut the salmon into 4 mm thick slices, lay them crosswise on the vegetables and pepper. Season the potatoes with salt and add to the sides of the fish. Pour in one tablespoon of oil and 2 tablespoons of wine. Place some of the chopped vegetables and one sprig of thyme on it."
107,Quesadillas with chicken,"Fresh Cilantro, Red Peppers, Guacamole, Corn Tortillas, Boneless Chicken Thighs, Olive Oil, Jalapeño Peppers, Sliced Cheddar, Tomatoes, Bacon, Salt, BBQ Wine, Sour Cream","You can prepare guacamole according to Roman Vanek's recipe, which you can find on X Chef in the category of fruits, vegetables and mushrooms. Salt the meat on both sides, place on a hot grill and grill both sides until tender. Place the finished meat on a cutting board and let rest for 3 minutes. Then cut it into slices 0,5 cm thick., On half of each tortilla put part of the tomatoes, on them part of the sliced meat, peppers, coriander and 1 tablespoon of guacamole. Add a jalapeño pepper on top to taste. Add some of the bacon and 1 slice of cheese and fold each tortilla in half., Serve with sour cream and guacamole., Slice the tomatoes. Slice the jalapeño peppers into thin slices. Clean the peppers, remove the seeds and cut the flesh into 0,5 cm thick noodles. Grill the bacon on a hot grill until golden brown, place the tortillas on the hot grill, cover and grill for 2 minutes."
108,Tomato salsa,"Fresh basil, Fresh thyme, Red chilli, Red onion, Red wine vinegar, Garlic, Lemon juice, Olive oil, Flat leaf parsley, Tomatoes, Salt","Finely chop the onion. Peel the garlic, cut lengthwise, remove the central sprout and finely grate or press. Finely chop the chilli pepper, mix the onion with the vinegar, lemon juice and garlic. Add the chopped tomatoes, herbs and oil., Add salt and chilli pepper to taste and mix., Cut the tomatoes into quarters and cut out the hard centre including the seeds. Cut the flesh into small cubes."
109,Greek bifteki,"Freshly cracked pepper, Fresh oregano, Red onion, Lemon zest, Mint, Ground beef, Flat-leaf parsley, Salt, Feta cheese, Toasted bread, Eggs, Wine suitable for grilling","Finely chop the onion. Finely chop the mint, parsley and oregano. Put the toasted bread in a bowl and pour 50 ml of water over it. Add the herbs, onion, a pinch of pepper, 1 teaspoon salt, lemon zest, egg and minced meat and mix thoroughly. Remember, the more fatty parts you leave on the lamb, the more pronounced the flavour will be.

Serve with tzatziki, cherry tomatoes and marigolds of finely chopped red onion., Place on a medium hot grill and grill for 2-3 minutes on each side until golden brown., Divide the mixture into 6 portions. Form each part into an oval patty, place a block of cheese in the middle and wrap the meat in an oval doughnut."
110,Souvlaki,"Freshly cracked pepper, Fresh oregano, Fresh thyme, Lemon, Mint, Olive oil, Sticks, Salt, Pork leg, Wine suitable for grilling","Place the finished skewers on a plate, drizzle with the remaining olive oil and the juice of the grilled lemon. Soak the skewers in cold water for 10 minutes., Cut the meat into 3 cm cubes, put them in a bowl with the herbs, 3 tablespoons of oil, a pinch of salt and pepper and mix. Let it rest for 2 hours in the fridge., Remove the meat from the marinade and skewer it on skewers. Place the skewers on a hot grill and grill them gradually for 1½ minutes on each side until the meat is tender. Place the lemon cut side down on the grill with the skewers."
111,Tzatziki,"White Greek yoghurt, Fresh dill, Garlic, Lemon juice, Extra virgin olive oil, Cucumber, Salt","Cut the garlic lengthwise and take out the tough sprouts, which are discarded. Finely chop the garlic, squeeze the drained cucumber, mix in a bowl with the yoghurt, garlic, dill, lemon juice and olive oil. Chill in the fridge for 2 hours. Stir before serving, cut both ends off the cucumber and cut it lengthwise. Using a spoon, scrape out the seeds and coarsely grate the cucumber. Put it in a colander, place it on a plate and season the cucumber with salt. Stir and let stand for 10 minutes, the cucumber will release the water."
112,Honey-mustard marinade,"Freshly crushed pepper, Garlic, Lemon juice, Dijon mustard, Extra virgin olive oil, Honey, Fresh rosemary, Salt","Marinate the beef or pork in the mixture until the next day.Mix the mustard with honey, olive oil, crushed or chopped garlic, lemon juice, salt and freshly ground pepper. Add a handful of chopped herbs (one kind or a mix of rosemary, thyme and tarragon), then grill the marinated meat as you are used to."
113,Grilled vegetable skewers,"Fresh herbs, Freshly crushed pepper, Red onion, Red pepper, Garlic, Cherry tomatoes, Lemon juice, Zucchini, Olive oil, Salt","Cut the cleaned vegetables into evenly sized pieces so that they toast evenly and skewer them on the grill needles.Mix the oil with lemon juice, pressed garlic, chopped herbs to taste (thyme, oregano, sage, basil, parsley, mint...), salt and freshly ground pepper. If you use wooden skewers, soak them in cold water for 30 minutes so they don't catch on the grill.

You can also skewer other goodies such as corn, asparagus, mushrooms, brussels sprouts, or pieces of tofu, tempeh or halloumi cheese."
